"Area","Sektion","Station","year","week","day","Längdgr_std","length_group","netID"
"BT",1,5,1990,47,2,2,7.6,"BT.1990.5"
"BT",3,26,1996,46,5,2,10.1,"BT.1996.26"
"BT",3,38,1996,47,2,2,10.1,"BT.1996.38"
"BT",4,40,1996,47,2,2,10.1,"BT.1996.40"
"BT",4,40,1996,47,2,2,10.1,"BT.1996.40"
"BT",4,40,1996,47,2,2,10.1,"BT.1996.40"
"BT",5,10,1996,46,2,2,10.1,"BT.1996.10"
"BT",5,33,1996,47,2,2,10.1,"BT.1996.33"
"BT",5,42,1996,47,3,2,10.1,"BT.1996.42"
"BT",1,1,1989,44,2,2,10.1,"BT.1989.1"
"BT",1,1,1989,44,2,2,10.1,"BT.1989.1"
"BT",1,1,1989,44,4,2,10.1,"BT.1989.1"
"BT",1,1,1989,44,4,2,10.1,"BT.1989.1"
"BT",1,1,1989,44,4,2,10.1,"BT.1989.1"
"BT",1,1,1990,46,5,2,10.1,"BT.1990.1"
"BT",1,1,1992,44,3,2,10.1,"BT.1992.1"
"BT",1,1,1992,45,1,2,10.1,"BT.1992.1"
"BT",1,1,1992,45,1,2,10.1,"BT.1992.1"
"BT",1,1,1992,45,3,2,10.1,"BT.1992.1"
"BT",1,1,1993,43,3,2,10.1,"BT.1993.1"
"BT",1,2,1989,43,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,43,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,43,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,43,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,43,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,43,4,2,10.1,"BT.1989.2"
"BT",1,2,1989,43,4,2,10.1,"BT.1989.2"
"BT",1,2,1989,43,4,2,10.1,"BT.1989.2"
"BT",1,2,1989,43,4,2,10.1,"BT.1989.2"
"BT",1,2,1989,43,4,2,10.1,"BT.1989.2"
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2"
"BT",1,2,1989,44,2,2,10.1,"BT.1989.2"
