"","year","area","age","catch_n","effort_id","n_nets_year_test","n_nets_year","cpue_numbers_test","cpue_numbers","log_cpue","area2","cohort"
"1",1987,"BT",3,231,"1987.BT",5,49,46.2,4.71428571428571,1.55059741241117,"Warm",1984
"2",1987,"BT",4,101,"1987.BT",5,49,20.2,2.06122448979592,0.723300218730633,"Warm",1983
"3",1987,"BT",5,37,"1987.BT",5,49,7.4,0.755102040816326,-0.280902385466402,"Warm",1982
"4",1987,"BT",6,11,"1987.BT",5,49,2.2,0.224489795918367,-1.49392502531226,"Warm",1981
"5",1987,"FM",3,750,"1987.FM",10,60,75,12.5,2.52572864430826,"Cold",1984
"6",1987,"FM",4,359,"1987.FM",10,60,35.9,5.98333333333333,1.78897782626618,"Cold",1983
"7",1987,"FM",5,156,"1987.FM",10,60,15.6,2.6,0.955511445027436,"Cold",1982
"8",1987,"FM",6,73,"1987.FM",10,60,7.3,1.21666666666667,0.19611487892629,"Cold",1981
"9",1988,"BT",3,182,"1988.BT",5,30,36.4,6.06666666666667,1.80280930541464,"Warm",1985
"10",1988,"BT",4,77,"1988.BT",5,30,15.4,2.56666666666667,0.942608040191529,"Warm",1984
"11",1988,"BT",5,25,"1988.BT",5,30,5,0.833333333333333,-0.182321556793955,"Warm",1983
"12",1988,"BT",6,13,"1988.BT",5,30,2.6,0.433333333333333,-0.836248024200619,"Warm",1982
"13",1988,"BT",7,3,"1988.BT",5,30,0.6,0.1,-2.30258509299405,"Warm",1981
"14",1988,"FM",3,435,"1988.FM",8,47,54.375,9.25531914893617,2.22519842937863,"Cold",1985
"15",1988,"FM",4,382,"1988.FM",8,47,47.75,8.12765957446809,2.09527300689652,"Cold",1984
"16",1988,"FM",5,185,"1988.FM",8,47,23.125,3.93617021276596,1.37020822336827,"Cold",1983
"17",1988,"FM",6,90,"1988.FM",8,47,11.25,1.91489361702128,0.649662068620206,"Cold",1982
"18",1988,"FM",7,43,"1988.FM",8,47,5.375,0.914893617021277,-0.0889474860164962,"Cold",1981
"19",1989,"BT",3,166,"1989.BT",5,30,33.2,5.53333333333333,1.71079040669439,"Warm",1986
"20",1989,"BT",4,62,"1989.BT",5,30,12.4,2.06666666666667,0.725937003382936,"Warm",1985
"21",1989,"BT",5,23,"1989.BT",5,30,4.6,0.766666666666667,-0.265703165733006,"Warm",1984
"22",1989,"BT",6,9,"1989.BT",5,30,1.8,0.3,-1.20397280432594,"Warm",1983
"23",1989,"BT",7,7,"1989.BT",5,30,1.4,0.233333333333333,-1.45528723260684,"Warm",1982
"24",1989,"FM",3,705,"1989.FM",8,48,88.125,14.6875,2.68699679190438,"Cold",1986
"25",1989,"FM",4,561,"1989.FM",8,48,70.125,11.6875,2.45851989461481,"Cold",1985
"26",1989,"FM",5,241,"1989.FM",8,48,30.125,5.02083333333333,1.61359592258276,"Cold",1984
"27",1989,"FM",6,115,"1989.FM",8,48,14.375,2.39583333333333,0.873731117455359,"Cold",1983
