"","area","catch_year","ID2","catch_age","back_calc_age","growth","length","log_length","log_growth","log_length_ct","log_length_ct_sq","birth_year","ID","n","test","area2","areaW","areaC"
"1","BT",1986,"152BT",5,1,46.6619531261495,7.4,2.00148000021012,3.84292912440025,-0.455884094482857,0.207830307602455,1981,"1986152BT",4,1,"Warm",1,0
"2","BT",1986,"152BT",5,2,27.9171382783872,11.8,2.46809953147162,3.32924077544854,0.0107354367786376,0.000115249602828126,1981,"1986152BT",4,1,"Warm",1,0
"3","BT",1986,"152BT",5,3,16.5079750359449,15.6,2.74727091425549,2.80384359964936,0.28990681956251,0.0840459640288495,1981,"1986152BT",4,1,"Warm",1,0
"4","BT",1986,"152BT",5,4,11.2940411180595,18.4,2.91235066461494,2.42427525194346,0.454986569921958,0.207012778809349,1981,"1986152BT",4,1,"Warm",1,0
"5","BT",1986,"155BT",5,1,43.4573192266235,7.9,2.06686275947298,3.77177928923095,-0.390501335220006,0.152491292808607,1981,"1986155BT",4,1,"Warm",1,0
"6","BT",1986,"155BT",5,2,31.9942934670002,12.2,2.50143595173921,3.46555755774095,0.0440718570462293,0.00194232858350327,1981,"1986155BT",4,1,"Warm",1,0
"7","BT",1986,"155BT",5,3,40.1488959728525,16.8,2.82137888640921,3.69259494245188,0.364014791716232,0.132506768588212,1981,"1986155BT",4,1,"Warm",1,0
"8","BT",1986,"155BT",5,4,13.7507541004162,25.1,3.22286784613774,2.62109366627535,0.765503751444757,0.585995993475996,1981,"1986155BT",4,1,"Warm",1,0
"9","BT",1986,"193BT",5,1,42.9332589514808,6.9,1.93152141160321,3.75964679250408,-0.525842683089768,0.276510527359046,1981,"1986193BT",4,1,"Warm",1,0
"10","BT",1986,"193BT",5,2,22.6910034109687,10.6,2.36085400111802,3.12196852042166,-0.0965100935749601,0.00931419816184755,1981,"1986193BT",4,1,"Warm",1,0
"11","BT",1986,"193BT",5,3,15.9506879027783,13.3,2.58776403522771,2.76950195700167,0.130399940534727,0.0170041444914603,1981,"1986193BT",4,1,"Warm",1,0
"12","BT",1986,"193BT",5,4,22.314355131421,15.6,2.74727091425549,3.10523019922858,0.28990681956251,0.0840459640288495,1981,"1986193BT",4,1,"Warm",1,0
"13","BT",1986,"194BT",5,1,60.0253433667249,6.2,1.82454929205105,4.09476686248621,-0.632814802641936,0.400454574442752,1981,"1986194BT",4,1,"Warm",1,0
"14","BT",1986,"194BT",5,2,29.6492702133936,11.3,2.42480272571829,3.38943751176455,-0.0325613689746866,0.00106024274950569,1981,"1986194BT",4,1,"Warm",1,0
"15","BT",1986,"194BT",5,3,23.3614851181505,15.2,2.72129542785223,3.1510887312025,0.263931333159249,0.0696597486232185,1981,"1986194BT",4,1,"Warm",1,0
"16","BT",1986,"194BT",5,4,17.1850256926659,19.2,2.95491027903374,2.84403840536416,0.497546184340754,0.247552205552044,1981,"1986194BT",4,1,"Warm",1,0
"17","BT",1986,"201BT",5,1,45.3474327294525,6.1,1.80828877117927,3.81435356480333,-0.649075323513716,0.421298775594435,1981,"1986201BT",4,1,"Warm",1,0
"18","BT",1986,"201BT",5,2,26.3965545834465,9.6,2.26176309847379,3.27323349343255,-0.195600996219191,0.0382597497219399,1981,"1986201BT",4,1,"Warm",1,0
"19","BT",1986,"201BT",5,3,16.8898536461814,12.5,2.52572864430826,2.82671306566561,0.0683645496152741,0.00467371164409927,1981,"1986201BT",4,1,"Warm",1,0
"20","BT",1986,"201BT",5,4,21.2273879077306,14.8,2.69462718077007,3.05529223035598,0.237263086077088,0.0562937720148235,1981,"1986201BT",4,1,"Warm",1,0
"21","BT",1986,"239BT",5,1,32.8033367975348,8.5,2.14006616349627,3.49053024184795,-0.317297931196711,0.100677977141713,1981,"1986239BT",4,1,"Warm",1,0
"22","BT",1986,"239BT",5,2,25.9753296926771,11.8,2.46809953147162,3.25714722959683,0.0107354367786376,0.000115249602828126,1981,"1986239BT",4,1,"Warm",1,0
"23","BT",1986,"239BT",5,3,24.7676737838082,15.3,2.72785282839839,3.2095393264472,0.270488733705408,0.0731641550615553,1981,"1986239BT",4,1,"Warm",1,0
"24","BT",1986,"239BT",5,4,12.9057112229601,19.6,2.97552956623647,2.55766994385344,0.51816547154349,0.268495455899888,1981,"1986239BT",4,1,"Warm",1,0
"25","BT",1986,"247BT",5,1,48.8664051963138,7.3,1.98787434815435,3.88909015008078,-0.469489746538636,0.220420622104913,1981,"1986247BT",4,1,"Warm",1,0
"26","BT",1986,"247BT",5,2,17.6703564489731,11.9,2.47653840011748,2.87188845867897,0.0191743054245022,0.000367653988512093,1981,"1986247BT",4,1,"Warm",1,0
"27","BT",1986,"247BT",5,3,19.7464536896518,14.2,2.65324196460721,2.98297391520667,0.195877869914233,0.0383681399221373,1981,"1986247BT",4,1,"Warm",1,0
"28","BT",1986,"247BT",5,4,15.9914384544008,17.3,2.85070650150373,2.77205348242456,0.393342406810752,0.154718248995675,1981,"1986247BT",4,1,"Warm",1,0
"29","BT",1986,"255BT",5,1,54.1341167691941,7.1,1.96009478404727,3.99146461129207,-0.497269310645712,0.247276767310061,1981,"1986255BT",4,1,"Warm",1,0
"30","BT",1986,"255BT",5,2,21.3258792081668,12.2,2.50143595173921,3.05992132151574,0.0440718570462293,0.00194232858350327,1981,"1986255BT",4,1,"Warm",1,0
"31","BT",1986,"255BT",5,3,11.8518600235337,15.1,2.71469474382088,2.47248481927486,0.257330649127897,0.066219062980585,1981,"1986255BT",4,1,"Warm",1,0
"32","BT",1986,"255BT",5,4,12.169693497752,17,2.83321334405622,2.49894872161671,0.375849249363235,0.141262658246907,1981,"1986255BT",4,1,"Warm",1,0
"33","BT",1986,"414BT",5,1,61.6513954539029,6.1,1.80828877117927,4.12149586445399,-0.649075323513716,0.421298775594435,1981,"1986414BT",4,1,"Warm",1,0
"34","BT",1986,"414BT",5,2,26.3044768066396,11.3,2.42480272571829,3.26973914548258,-0.0325613689746866,0.00106024274950569,1981,"1986414BT",4,1,"Warm",1,0
"35","BT",1986,"414BT",5,3,30.78847797693,14.7,2.68784749378469,3.42714052833167,0.230483399091709,0.053122597256868,1981,"1986414BT",4,1,"Warm",1,0
"36","BT",1986,"414BT",5,4,12.2217632724249,20,2.99573227355399,2.5032182373132,0.538368178861009,0.28984029601012,1981,"1986414BT",4,1,"Warm",1,0
"37","BT",1986,"415BT",5,1,48.8664051963138,7.3,1.98787434815435,3.88909015008078,-0.469489746538636,0.220420622104913,1981,"1986415BT",4,1,"Warm",1,0
"38","BT",1986,"415BT",5,2,27.7122312236779,11.9,2.47653840011748,3.32187387615576,0.0191743054245022,0.000367653988512093,1981,"1986415BT",4,1,"Warm",1,0
"39","BT",1986,"415BT",5,3,20.6444383556577,15.7,2.75366071235426,3.02744595410763,0.296296617661281,0.0877916856375151,1981,"1986415BT",4,1,"Warm",1,0
"40","BT",1986,"415BT",5,4,11.258821877928,19.3,2.96010509591084,2.42115198827911,0.502741001217858,0.252748514305534,1981,"1986415BT",4,1,"Warm",1,0
"41","BT",1986,"462BT",5,1,61.6774201775371,6.8,1.91692261218206,4.12191790246493,-0.540441482510921,0.292076996018602,1981,"1986462BT",4,1,"Warm",1,0
"42","BT",1986,"462BT",5,2,15.4150679827258,12.6,2.53369681395743,2.73534547149549,0.0763327192644505,0.00582668403030541,1981,"1986462BT",4,1,"Warm",1,0
"43","BT",1986,"462BT",5,3,21.9053566062685,14.7,2.68784749378469,3.08673120080778,0.230483399091709,0.053122597256868,1981,"1986462BT",4,1,"Warm",1,0
"44","BT",1986,"462BT",5,4,13.7621377876048,18.3,2.90690105984738,2.62192118290897,0.449536965154394,0.202083483040223,1981,"1986462BT",4,1,"Warm",1,0
"45","BT",1987,"186BT",6,1,48.2582411452595,7.9,2.06686275947298,3.8765666141382,-0.390501335220006,0.152491292808607,1981,"1987186BT",5,1,"Warm",1,0
"46","BT",1987,"186BT",6,2,30.7025035294912,12.8,2.54944517092557,3.42434419946017,0.0920810762325899,0.00847892460015203,1981,"1987186BT",5,1,"Warm",1,0
"47","BT",1987,"186BT",6,3,21.1582728913134,17.4,2.85647020622048,3.05203098226538,0.399106111527502,0.159285688258603,1981,"1987186BT",5,1,"Warm",1,0
"48","BT",1987,"186BT",6,4,5.431198935374,21.5,3.06805293513362,1.69215990798488,0.610688840440635,0.372940859838728,1981,"1987186BT",5,1,"Warm",1,0
"49","BT",1987,"186BT",6,5,8.84787286835795,22.7,3.12236492448736,2.18017707627236,0.665000829794375,0.442226103627208,1981,"1987186BT",5,1,"Warm",1,0
"50","BT",1987,"188BT",5,1,66.9799816562954,6.5,1.87180217690159,4.20439379349763,-0.58556191779139,0.342882759567531,1982,"1987188BT",4,1,"Warm",1,0
"51","BT",1987,"188BT",5,2,35.9819600618204,12.7,2.54160199346455,3.58301770346496,0.0842378987715642,0.00709602358944829,1982,"1987188BT",4,1,"Warm",1,0
"52","BT",1987,"188BT",5,3,21.2093715127625,18.2,2.90142159408275,3.05444313649034,0.444057499389768,0.197187062764294,1982,"1987188BT",4,1,"Warm",1,0
"53","BT",1987,"188BT",5,4,10.1352494260288,22.5,3.11351530921037,2.31601938996411,0.656151214517393,0.430534416312649,1982,"1987188BT",4,1,"Warm",1,0
"54","BT",1987,"189BT",6,1,55.9615787935423,6.8,1.91692261218206,4.0246653622932,-0.540441482510921,0.292076996018602,1981,"1987189BT",5,1,"Warm",1,0
"55","BT",1987,"189BT",6,2,24.4757027734747,11.9,2.47653840011748,3.19768090193589,0.0191743054245022,0.000367653988512093,1981,"1987189BT",5,1,"Warm",1,0
"56","BT",1987,"189BT",6,3,27.94243872128,15.2,2.72129542785223,3.33014663424597,0.263931333159249,0.0696597486232185,1981,"1987189BT",5,1,"Warm",1,0
"57","BT",1987,"189BT",6,4,13.9112802462718,20.1,3.00071981506503,2.63270003953419,0.543355720372049,0.295235438861028,1981,"1987189BT",5,1,"Warm",1,0
"58","BT",1987,"189BT",6,5,7.50351859429141,23.1,3.13983261752775,2.01537205643325,0.682468522834766,0.465763284660268,1981,"1987189BT",5,1,"Warm",1,0
"59","BT",1987,"191BT",6,1,46.0123520646028,8.9,2.18605127673809,3.82890988358675,-0.271312817954887,0.0736106451866219,1981,"1987191BT",5,1,"Warm",1,0
"60","BT",1987,"191BT",6,2,24.9737140887658,14.1,2.64617479738412,3.21782383527176,0.188810702691141,0.0356494814507224,1981,"1987191BT",5,1,"Warm",1,0
"61","BT",1987,"191BT",6,3,17.2140996861837,18.1,2.89591193827178,2.84572879720527,0.438547843578799,0.192324211107614,1981,"1987191BT",5,1,"Warm",1,0
"62","BT",1987,"191BT",6,4,3.6533743332456,21.5,3.06805293513362,1.29565121539251,0.610688840440635,0.372940859838728,1981,"1987191BT",5,1,"Warm",1,0
"63","BT",1987,"191BT",6,5,4.81493438975829,22.3,3.10458667846607,1.57172241893883,0.647222583773091,0.418897072945916,1981,"1987191BT",5,1,"Warm",1,0
"64","BT",1987,"192BT",5,1,63.6794244008814,7.3,1.98787434815435,4.15386150256439,-0.469489746538636,0.220420622104913,1982,"1987192BT",4,1,"Warm",1,0
"65","BT",1987,"192BT",5,2,31.9770387003281,13.8,2.62466859216316,3.4650181046295,0.167304497470178,0.0279907948737487,1982,"1987192BT",4,1,"Warm",1,0
"66","BT",1987,"192BT",5,3,6.12436252407189,19,2.94443897916644,1.81227467331178,0.487074884473459,0.237241943084833,1982,"1987192BT",4,1,"Warm",1,0
"67","BT",1987,"192BT",5,4,5.30244683082204,20.2,3.00568260440716,1.66816838021586,0.548318509714178,0.300653188095177,1982,"1987192BT",4,1,"Warm",1,0
"68","BT",1987,"193BT",5,1,55.5747311157502,7.4,2.00148000021012,4.01772862161544,-0.455884094482857,0.207830307602455,1982,"1987193BT",4,1,"Warm",1,0
"69","BT",1987,"193BT",5,2,37.6629558468277,12.9,2.55722731136763,3.62867700785022,0.0998632166746449,0.00997266204460708,1982,"1987193BT",4,1,"Warm",1,0
"70","BT",1987,"193BT",5,3,21.8879152527752,18.8,2.9338568698359,3.08593466957479,0.476492775142922,0.227045364763403,1982,"1987193BT",4,1,"Warm",1,0
"71","BT",1987,"193BT",5,4,6.61398025045448,23.4,3.15273602236366,1.88918562853375,0.695371927670674,0.483542117792429,1982,"1987193BT",4,1,"Warm",1,0
"72","BT",1987,"196BT",6,1,47.4457979595116,8.4,2.12823170584927,3.8595879639061,-0.329132388843714,0.10832812938597,1981,"1987196BT",5,1,"Warm",1,0
"73","BT",1987,"196BT",6,2,25.3780520776099,13.5,2.60268968544438,3.23388470904961,0.145325590751402,0.021119527327244,1981,"1987196BT",5,1,"Warm",1,0
"74","BT",1987,"196BT",6,3,17.366349405084,17.4,2.85647020622048,2.85453439150308,0.399106111527502,0.159285688258603,1981,"1987196BT",5,1,"Warm",1,0
