Provfiske;Area;Areanamn;Sektion;Sektion_namn;Station;Stations_namn;Position_N;Position_E;Redskap;Årtal;Vecka;Dag;Vtn.stånd;YtTmp I;YtTmp Upp;VindRiktn.I;VindSt.I;Vind_upp_rikn;VindSt.Upp;Ström_I_rikn;Ström_upp_rikn;Salthalt_I_yta;Salthalt_I_botten;Salthalt_upp_yta;Salthalt_upp_botten;Drift_i;Drift_u;Drift_dim;Siktdjup;Lufttryck_i;Lufttryck_upp;Ansträngning;Sjuk_kontroll;Nr;Störning;TmpBtnI;TmpBtnU;Art;Vikt;Längdgr_std;Antal;<>;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;84;85;86;87;88;89;90;91;93;94;96;97;98;99;101;103;104;106;109;111;114;116
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;19;4;;;13.9;225;3;225;2;;;;;;;2;2;0;47;;;1;2;17;0;13.1;13.4;ABBO;0.21;3;5;;;;;;;3;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;19;4;;;13.9;225;3;225;2;;;;;;;2;2;0;47;;;1;2;17;0;13.1;13.4;MÖRT;0.11;3;4;;;;;;;1;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;19;4;;;13.9;225;3;225;2;;;;;;;2;2;0;47;;;1;2;22;0;13.1;13.4;ABBO;0.09;3;2;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;19;4;;;13.9;225;3;225;2;;;;;;;2;2;0;47;;;1;2;22;0;13.1;13.4;BJÖR;0.06;3;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;19;4;;;13.9;225;3;225;2;;;;;;;2;2;0;47;;;1;2;22;0;13.1;13.4;MÖRT;0.62;3;11;;;;;;;;;;1;6;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;19;4;;;13.9;225;3;225;2;;;;;;;2;2;0;47;;;1;2;22;0;13.1;13.4;SARV;0.21;3;2;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;19;4;;;13.9;225;3;225;2;;;;;;;2;2;0;47;;;1;2;25;0;13.1;13.4;ABBO;0.07;3;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;19;4;;;13.9;225;3;225;2;;;;;;;2;2;0;47;;;1;2;25;0;13.1;13.4;MÖRT;0.09;3;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;19;4;;;13.9;225;3;225;2;;;;;;;2;2;0;47;;;1;2;33;0;13.1;13.4;ABBO;0.51;3;5;;;;;;;;;;;1;;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;19;4;;;13.9;225;3;225;2;;;;;;;2;2;0;47;;;1;2;33;0;13.1;13.4;SARV;0.13;3;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;19;4;;;13.9;225;3;225;2;;;;;;;2;2;0;47;;;1;2;50;0;13.1;13.4;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;22;2;;18;16.9;180;2;180;1;;;;;;;2;2;0;40;;;1;1;17;0;17.5;15.7;ABBO;0.42;3;10;;;;;;;;2;4;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;22;2;;18;16.9;180;2;180;1;;;;;;;2;2;0;40;;;1;1;17;0;17.5;15.7;GERS;0.04;3;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;22;2;;18;16.9;180;2;180;1;;;;;;;2;2;0;40;;;1;1;17;0;17.5;15.7;LÖJA;0.03;3;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;22;2;;18;16.9;180;2;180;1;;;;;;;2;2;0;40;;;1;1;22;0;17.5;15.7;ABBO;4.31;3;76;;;;;;;;;;13;40;17;4;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BT09D;BT;Biotestsjön. Forsmark;1;Biotestsjön;1;Malören;60 25.330;18 11.258;9;2003;22;2;;18;16.9;180;2;180;1;;;;;;;2;2;0;40;;;1;1;22;0;17.5;15.7;GERS;0.02;3;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
