Provfiske;Area;Areanamn;Sektion;Sektion_namn;Station;Stations_namn;Position_N;Position_E;Redskap;Årtal;Vecka;Dag;Vtn.stånd;YtTmp I;YtTmp Upp;VindRiktn.I;VindSt.I;Vind_upp_rikn;VindSt.Upp;Ström_I_rikn;Ström_upp_rikn;Salthalt_I_yta;Salthalt_I_botten;Salthalt_upp_yta;Salthalt_upp_botten;Drift_i;Drift_u;Drift_dim;Siktdjup;Lufttryck_i;Lufttryck_upp;Ansträngning;Sjuk_kontroll;Nr;Störning;TmpBtnI;TmpBtnU;Art;Vikt;Längdgr_std;Antal;<>;1;2;3;4;5;6;7;8;9;10;11;12;13;14
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;2;;;;360;6;330;5;;;;;;;2;2;0;999;765;765;1;1;1;0;17,50;17,30;ABBO;;1;8;;;1;4;2;;;1;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;2;;;;360;6;330;5;;;;;;;2;2;0;999;765;765;1;1;1;0;17,50;17,30;BJÖR;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;2;;;;360;6;330;5;;;;;;;2;2;0;999;765;765;1;1;1;0;17,50;17,30;MÖRT;;1;4;;;2;2;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;2;;;;360;6;330;5;;;;;;;2;2;0;999;765;765;1;1;1;0;17,50;17,30;STRÖ;;1;9;;;;9;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;2;;;;360;6;330;5;;;;;;;2;2;0;999;765;765;1;1;2;0;17,80;17,30;ABBO;;1;53;;;16;29;8;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;2;;;;360;6;330;5;;;;;;;2;2;0;999;765;765;1;1;2;0;17,80;17,30;BJÖR;;1;1;;;1;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;2;;;;360;6;330;5;;;;;;;2;2;0;999;765;765;1;1;2;0;17,80;17,30;GERS;;1;3;;;3;;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;2;;;;360;6;330;5;;;;;;;2;2;0;999;765;765;1;1;2;0;17,80;17,30;MÖRT;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;2;;;;360;6;330;5;;;;;;;2;2;0;999;765;765;1;1;2;0;17,80;17,30;STRÖ;;1;1;;;;1;;;;;;;;;;;
FM09S;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1983;30;5;-3;;;330;12;220;3;0;0;;;;;2;2;0;999;758;758;1;1;1;0;19,00;18,10;ABBO;;1;3;;;;2;1;;;;;;;;;;
