Provfiske;Area;Areanamn;Sektion;Sektion_namn;Station;Stations_namn;Position_N;Position_E;Redskap;Årtal;Vecka;Dag;Vtn.stånd;YtTmp I;YtTmp Upp;VindRiktn.I;VindSt.I;Vind_upp_rikn;VindSt.Upp;Ström_I_rikn;Ström_upp_rikn;Salthalt_I_yta;Salthalt_I_botten;Salthalt_upp_yta;Salthalt_upp_botten;Drift_i;Drift_u;Drift_dim;Siktdjup;Lufttryck_i;Lufttryck_upp;Ansträngning;Sjuk_kontroll;Nr;Störning;TmpBtnI;TmpBtnU;Art;Vikt;Längdgr_std;Antal;<>;6;9;11;14;16;19;21;24;26;29;31;34;36;39;41;44;46;49;51;56;59;61;64;71
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;3;16;;;30;4;340;5;0;0;;;;;2;2;0;40;750;755;1;1;1;0;17,30;17,00;ABBO;;2;6;;;;;4;;1;1;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;3;16;;;30;4;340;5;0;0;;;;;2;2;0;40;750;755;1;1;1;0;17,30;17,00;BJÖR;;2;2;;;;;2;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;3;16;;;30;4;340;5;0;0;;;;;2;2;0;40;750;755;1;1;1;0;17,30;17,00;GÖS;;2;2;;;;;;;;;1;;;1;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;3;16;;;30;4;340;5;0;0;;;;;2;2;0;40;750;755;1;1;1;0;17,30;17,00;MÖRT;;2;35;;;;;18;15;2;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;3;16;;;30;4;340;5;0;0;;;;;2;2;0;40;750;755;1;1;1;0;17,30;17,00;NORS;;2;1;;;;;;;;1;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;3;16;;;30;4;340;5;0;0;;;;;2;2;0;40;750;755;1;1;2;0;17,30;17,00;ABBO;;2;16;;;;;6;3;3;1;2;;;;1;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;3;16;;;30;4;340;5;0;0;;;;;2;2;0;40;750;755;1;1;2;0;17,30;17,00;BJÖR;;2;1;;;;;1;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;3;16;;;30;4;340;5;0;0;;;;;2;2;0;40;750;755;1;1;2;0;17,30;17,00;GÖS;;2;1;;;;;;;1;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;3;16;;;30;4;340;5;0;0;;;;;2;2;0;40;750;755;1;1;2;0;17,30;17,00;MÖRT;;2;18;;;;;4;6;7;1;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;5;16;;;100;2;170;2;0;0;;;;;2;2;0;26;758;758;1;1;1;0;18,40;17,00;ABBO;;2;14;;;;;14;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;5;16;;;100;2;170;2;0;0;;;;;2;2;0;26;758;758;1;1;1;0;18,40;17,00;BJÖR;;2;2;;;;2;;;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;5;16;;;100;2;170;2;0;0;;;;;2;2;0;26;758;758;1;1;1;0;18,40;17,00;MÖRT;;2;21;;;;;13;6;2;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;5;16;;;100;2;170;2;0;0;;;;;2;2;0;26;758;758;1;1;2;0;18,10;16,80;ABBO;;2;24;;;;;17;;6;;;;;;;1;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;5;16;;;100;2;170;2;0;0;;;;;2;2;0;26;758;758;1;1;2;0;18,10;16,80;BJÖR;;2;1;;;;;;1;;;;;;;;;;;;;;;;;;;
FM09U;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1987;31;5;16;;;100;2;170;2;0;0;;;;;2;2;0;26;758;758;1;1;2;0;18,10;16,80;GERS;;2;1;;;;1;;;;;;;;;;;;;;;;;;;;;
