Provfiske;Area;Areanamn;Sektion;Sektion_namn;Station;Stations_namn;Position_N;Position_E;Redskap;Årtal;Vecka;Dag;Vtn.stånd;YtTmp I;YtTmp Upp;VindRiktn.I;VindSt.I;Vind_upp_rikn;VindSt.Upp;Ström_I_rikn;Ström_upp_rikn;Salthalt_I_yta;Salthalt_I_botten;Salthalt_upp_yta;Salthalt_upp_botten;Drift_i;Drift_u;Drift_dim;Siktdjup;Lufttryck_i;Lufttryck_upp;Ansträngning;Sjuk_kontroll;Nr;Störning;TmpBtnI;TmpBtnU;Art;Vikt;Längdgr_std;Antal;9;11;14;16;19;21;24;26;29;31;34;36;39;41;44;46;49;51;54;56;59;61;66;69;71;76;81;101
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;2;3;;;200;4;170;3;;;;;;;2;2;0;35;767;768;1;1;1;0;18,90;18,20;ABBO;;2;91;;;40;28;17;1;3;1;;1;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;2;3;;;200;4;170;3;;;;;;;2;2;0;35;767;768;1;1;1;0;18,90;18,20;BJÖR;;2;5;;4;1;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;2;3;;;200;4;170;3;;;;;;;2;2;0;35;767;768;1;1;1;0;18,90;18,20;GERS;;2;5;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;2;3;;;200;4;170;3;;;;;;;2;2;0;35;767;768;1;1;1;0;18,90;18,20;GÖS;;2;9;;;;;2;2;1;2;1;1;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;2;3;;;200;4;170;3;;;;;;;2;2;0;35;767;768;1;1;1;0;18,90;18,20;MÖRT;;2;25;;;19;2;3;;;1;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;2;3;;;200;4;170;3;;;;;;;2;2;0;35;767;768;1;1;1;0;18,90;18,20;VIMM;;2;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;3;-8;;;170;3;70;4;;;;;;;2;2;0;35;768;768;1;1;1;0;18,70;18,10;ABBO;;2;44;;;7;19;12;2;3;;;1;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;3;-8;;;170;3;70;4;;;;;;;2;2;0;35;768;768;1;1;1;0;18,70;18,10;BJÖR;;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;3;-8;;;170;3;70;4;;;;;;;2;2;0;35;768;768;1;1;1;0;18,70;18,10;GERS;;2;6;;5;1;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;3;-8;;;170;3;70;4;;;;;;;2;2;0;35;768;768;1;1;1;0;18,70;18,10;GÖS;;2;3;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;3;-8;;;170;3;70;4;;;;;;;2;2;0;35;768;768;1;1;1;0;18,70;18,10;MÖRT;;2;8;;;3;4;;1;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;4;-10;;;170;4;340;5;;;;;;;2;2;0;35;768;766;1;1;1;0;17,50;19,80;ABBO;;2;59;;2;18;15;13;5;1;3;1;;1;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;4;-10;;;170;4;340;5;;;;;;;2;2;0;35;768;766;1;1;1;0;17,50;19,80;GERS;;2;4;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;4;-10;;;170;4;340;5;;;;;;;2;2;0;35;768;766;1;1;1;0;17,50;19,80;GÖS;;2;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;4;-10;;;170;4;340;5;;;;;;;2;2;0;35;768;766;1;1;1;0;17,50;19,80;MÖRT;;2;13;;;11;2;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;5;-10;;;340;5;80;1;;;;;;;2;2;0;35;766;765;1;1;1;0;19,60;19,60;ABBO;;2;49;;;15;16;7;3;4;3;1;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;5;-10;;;340;5;80;1;;;;;;;2;2;0;35;766;765;1;1;1;0;19,60;19,60;BJÖR;;2;7;;5;1;1;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;5;-10;;;340;5;80;1;;;;;;;2;2;0;35;766;765;1;1;1;0;19,60;19,60;GERS;;2;5;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;5;-10;;;340;5;80;1;;;;;;;2;2;0;35;766;765;1;1;1;0;19,60;19,60;GÖS;;2;2;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;31;5;-10;;;340;5;80;1;;;;;;;2;2;0;35;766;765;1;1;1;0;19,60;19,60;MÖRT;;2;22;;;18;4;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;2;-8;;;230;3;200;6;;;;;;;2;2;0;35;761;759;1;1;1;0;21,00;19,00;ABBO;;2;81;;5;26;37;9;2;1;;1;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;2;-8;;;230;3;200;6;;;;;;;2;2;0;35;761;759;1;1;1;0;21,00;19,00;BJÖR;;2;20;;9;5;5;1;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;2;-8;;;230;3;200;6;;;;;;;2;2;0;35;761;759;1;1;1;0;21,00;19,00;GERS;;2;8;;4;4;;;;;;;;;;;;;;;;;;;;;;;;;
FM09V;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;1991;32;2;-8;;;230;3;200;6;;;;;;;2;2;0;35;761;759;1;1;1;0;21,00;19,00;GÖS;;2;4;;;;;;;1;2;;;;;;;1;;;;;;;;;;;;;
