Provfiske;Area;Areanamn;Sektion;Sektion_namn;Station;Stations_namn;Position_N;Position_E;Redskap;Årtal;Vecka;Dag;Vtn.stånd;YtTmp I;YtTmp Upp;VindRiktn.I;VindSt.I;Vind_upp_rikn;VindSt.Upp;Ström_I_rikn;Ström_upp_rikn;Salthalt_I_yta;Salthalt_I_botten;Salthalt_upp_yta;Salthalt_upp_botten;Drift_i;Drift_u;Drift_dim;Siktdjup;Lufttryck_i;Lufttryck_upp;Ansträngning;Sjuk_kontroll;Nr;Störning;TmpBtnI;TmpBtnU;Art;Vikt;Längdgr_std;Antal;<>;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;55;62;65;80;83;90
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;17;0;17,20;17,40;ABBO;0,43;3;13;;;;;;3;4;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;17;0;17,20;17,40;BJÖR;0,11;3;5;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;17;0;17,20;17,40;GERS;0,02;3;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;17;0;17,20;17,40;GÖS;0,67;3;12;;;;;;;;;;;;4;4;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;17;0;17,20;17,40;MÖRT;0,57;3;20;;;;;;2;8;8;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;17;0;17,20;17,40;STRÖ;0,29;3;6;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;22;0;17,20;17,40;ABBO;2,30;3;30;;;;;;;;;3;3;8;6;4;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;22;0;17,20;17,40;BJÖR;0,03;3;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;22;0;17,20;17,40;GÖS;2,47;3;15;;;;;;;;;;;;;;;;2;;;;2;2;4;1;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
FM09M;FM;Forsmark;1;Syd Biotestsjön;31;Asphällan;60 24,59;18 11,88;09;2001;31;4;;18,50;17,30;225;1;337;7;;;;;;;2;2;0;;765;765;1;1;22;0;17,20;17,40;MÖRT;0,24;3;4;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
